time,n_alive,hiv.n_infected,hiv.n_infected_0_14,hiv.n_infected_10_19,hiv.n_infected_15_100,hiv.n_infected_15_24,hiv.n_infected_15_49,hiv.n_infected_f,hiv.new_deaths,hiv.new_infections,hiv.new_infections_0_14,hiv.new_infections_10_19,hiv.new_infections_15_100,hiv.new_infections_15_24,hiv.new_infections_15_49,hiv.prevalence_15_24,hiv.prevalence_15_49,hiv.prevalence_f_15_20,hiv.prevalence_f_20_25,hiv.prevalence_f_25_30,hiv.prevalence_f_30_35,hiv.prevalence_f_35_40,hiv.prevalence_f_40_45,hiv.prevalence_f_45_50,hiv.prevalence_f_50_55,hiv.prevalence_f_55_60,hiv.prevalence_f_60_65,hiv.prevalence_m_15_20,hiv.prevalence_m_20_25,hiv.prevalence_m_25_30,hiv.prevalence_m_30_35,hiv.prevalence_m_35_40,hiv.prevalence_m_40_45,hiv.prevalence_m_45_50,hiv.prevalence_m_50_55,hiv.prevalence_m_55_60,hiv.prevalence_m_60_65,hiv.incidence_15_100,hiv.incidence_f_15_49,hiv.incidence_f_18_49,hiv.incidence_m_15_49,hiv.incidence_m_18_49
1990,706196,5300,500,500,5000,1500,4700,2200,200,2900,200,500,2700,940,2600,0.009,0.012,,,,,,,,,,,,,,,,,,,,,,,,,
1991,734732,11000,500,830,10000,3100,9600,4800,500,5600,500,550,5200,1800,4900,0.017,0.023,,,,,,,,,,,,,,,,,,,,,,,,,
1992,763810.5,20000,930,1500,19000,5500,18000,9300,530,9400,740,940,8700,3000,8200,0.028999999999999998,0.040999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,
1993,799798,32000,1600,2400,31000,8800,29000,16000,950,14000,1200,1400,13000,4400,12000,0.045,0.065,,,,,,,,,,,,,,,,,,,,,,,,,
1994,837800,45000,2500,3200,42000,12000,39000,23000,1500,18000,1700,1900,17000,5800,16000,0.063,0.093,,,,,,,,,,,,,,,,,,,,,,,,,
1995,872428.5,63000,3600,4400,59000,16000,55000,32000,2200,21000,2100,2300,19000,6800,18000,0.083,0.126,,,,,,,,,,,,,,,,,,,,,,,,,
1996,908189.5,81000,4800,5400,76000,21000,71000,43000,3000,23000,2500,2600,20000,7400,19000,0.10099999999999999,0.158,,,,,,,,,,,,,,,,,,,,,,,,,
1997,943416,99000,6100,6100,93000,24000,86000,53000,4000,23000,2900,2800,20000,7700,19000,0.114,0.18600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,
1998,971318.5,110000,7500,6500,110000,27000,99000,63000,5100,23000,3200,2800,19000,7600,18000,0.12300000000000001,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
1999,971212.5,130000,9000,6800,120000,29000,110000,71000,6200,22000,3500,2800,19000,7600,18000,0.127,0.228,,,,,,,,,,,,,,,,,,,,,,,,,
