Year,Gender,AgeBin,p_vmmc,lb,ub
1990,1,"[10,15)",0.0025,,
1990,1,"[15,20)",0.005,,
1990,1,"[20,25)",0.01,,
1990,1,"[25,30)",0.01,,
1990,1,"[30,35)",0.015,,
1990,1,"[35,40)",0.02,,
1990,1,"[40,45)",0.02,,
1990,1,"[45,50)",0.02,,
1990,1,"[50,55)",0.02,,
1990,1,"[55,60)",0.02,,
1990,1,"[60,65)",0.02,,
2007,1,"[10,15)",0.04,0.0312,0.0511
2007,1,"[15,20)",0.042,0.0325,0.0542
2007,1,"[20,25)",0.065,0.0506,0.0832
2007,1,"[25,30)",0.079,0.0603,0.1028
2007,1,"[30,35)",0.099,0.0742,0.1308
2007,1,"[35,40)",0.197,0.1595,0.2407
2007,1,"[40,45)",0.125,0.0907,0.1699
2007,1,"[45,50)",0.119,0.0849,0.1644
2007,1,"[50,55)",0.12,0.082,0.1723
2007,1,"[55,60)",0.12,0.0773,0.1817
2007,1,"[60,65)",0.12,0.07,0.1981
2016,1,"[10,15)",0.44,0.4008,0.4800
2016,1,"[15,20)",0.38,0.3420,0.4195
2016,1,"[20,25)",0.31,0.2743,0.3481
2016,1,"[25,30)",0.28,0.2456,0.3172
2016,1,"[30,35)",0.25,0.2170,0.2862
2016,1,"[35,40)",0.27,0.2360,0.3069
2016,1,"[40,45)",0.15,0.1237,0.1808
2016,1,"[45,50)",0.13,0.1054,0.1593
2016,1,"[50,55)",0.16,0.1328,0.1915
2016,1,"[55,60)",0.14,0.1145,0.1701
2016,1,"[60,65)",0.14,0.1145,0.1701
2021,1,"[10,15)",0.85,0.8310,0.8672
2021,1,"[15,20)",0.738,0.7097,0.7644
2021,1,"[20,25)",0.604,0.5695,0.6375
2021,1,"[25,30)",0.439,0.4008,0.4779
2021,1,"[30,35)",0.345,0.3054,0.3869
2021,1,"[35,40)",0.298,0.2595,0.3396
2021,1,"[40,45)",0.325,0.2796,0.3739
2021,1,"[45,50)",0.267,0.2201,0.3198
2021,1,"[50,55)",0.252,0.1983,0.3145
2021,1,"[55,60)",0.241,0.1845,0.3083
2021,1,"[60,65)",0.166,0.1227,0.2207
