Year,Gender,AgeBin,Count,NationalARTPrevalence,lb,ub
2011,0,"[15,25)",2976,0.08,0.070525372,0.090009198
2011,0,"[25,35)",2476,0.21,0.194184232,0.226259491
2011,0,"[35,45)",1226,0.4,0.372748142,0.427560892
2011,1,"[15,25)",4035,0.18,0.168298901,0.192001548
2011,1,"[25,35)",3756,0.32,0.305175668,0.335005895
2011,1,"[35,45)",2270,0.46,0.439537122,0.48052964
2016,0,"[15,25)",1872,0.36,0.33840642,0.381876921
2016,0,"[25,35)",1558,0.6,0.57556377,0.624193051
2016,0,"[35,45)",771,0.76,0.729247826,0.789474643
2016,1,"[15,25)",2337,0.6,0.58006304,0.619774843
2016,1,"[25,35)",2175,0.8,0.782935327,0.81654213
2016,1,"[35,45)",1315,0.9,0.883225806,0.915622164
2021,0,"[15,25)",,0.832471562,0.709410548,0.949327818
2021,0,"[25,35)",,0.650465357,0.557394002,0.742502585
2021,0,"[35,45)",,0.901758014,0.860392968,0.941054809
2021,1,"[15,25)",,0.793534932,0.724713243,0.859228363
2021,1,"[25,35)",,0.893639208,0.86131387,0.925964546
2021,1,"[35,45)",,0.969760167,0.942648592,0.990615224
2025,0,"[15,25)",,0.083247156,,
2025,0,"[25,35)",,0.065046536,,
2025,0,"[35,45)",,0.090175801,,
2025,1,"[15,25)",,0.079353493,,
2025,1,"[25,35)",,0.089363921,,
2025,1,"[35,45)",,0.096976017,,
