"","year","overall.incidence","male.incidence","female.incidence"
"1",1980,0.000711003712531447,0.00114134089849586,0.000303618166084293
"251",1981,0.00586911826495931,0.00549753761977141,0.00622372529848301
"501",1982,0.0102488367899351,0.00913396572098292,0.0113172739731009
"751",1983,0.0139498453822207,0.0121483391108874,0.0156859330720091
"1001",1984,0.017075787246369,0.0146356067253984,0.019442038475228
"1251",1985,0.0194614992654077,0.0164197426536279,0.0224303567448381
"1501",1986,0.0213188723334314,0.0177213891502132,0.0248550958852319
"1751",1987,0.0223416040862542,0.0183218973363386,0.0263245340033173
"2001",1988,0.02312906612038,0.0187296582793269,0.0275276446158572
"2251",1989,0.0249364179206441,0.0200582360421673,0.0298590973455948
"2501",1990,0.0267098203750923,0.0213548555480793,0.0321654055920696
"2751",1991,0.0279633773969753,0.0221302247672975,0.0339671825412882
"3001",1992,0.0289390805511766,0.0226760039407884,0.0354572787222296
"3251",1993,0.0297126510964386,0.02306339696709,0.0367089567673789
"3501",1994,0.0302778879035789,0.0233171075420925,0.0376833292646626
"3751",1995,0.0306924650334093,0.02347927592193,0.0384497346788267
"4001",1996,0.0310431759303518,0.0236596591199309,0.0390646396403616
"4251",1997,0.0313035283318483,0.0238037066773103,0.0395327392994867
"4501",1998,0.0314004327712257,0.0238564785073189,0.0397574041542939
"4751",1999,0.0314470740352637,0.0238932288435095,0.0398938199402917
"5001",2000,0.0314991368525413,0.02396883781723,0.0399965905741696
"5251",2001,0.0316745814471591,0.02413896813232,0.0402498466906156
"5501",2002,0.0318955749052121,0.0243438717739158,0.0405587695067168
"5751",2003,0.0322715909409472,0.024639963040085,0.0410913557445461
"6001",2004,0.0326545659956737,0.0249302027355702,0.0416437267165897
"6251",2005,0.033373344825955,0.0254825893057743,0.0426217244235109
"6501",2006,0.0338406252950846,0.0258179525952034,0.0433048750194811
"6751",2007,0.0336566650331446,0.0256053388989954,0.0432160532323159
"7001",2008,0.032943346770285,0.0249555864478529,0.0424831862650867
"7251",2009,0.031148394408481,0.0234197497408061,0.0404276766112719
"7501",2010,0.0284953021131826,0.0211832311977279,0.0373128801724101
"7751",2011,0.0255217186499435,0.018690746273947,0.0337912442637912
"8001",2012,0.0224198597930617,0.0161022135369956,0.0300889742181046
"8251",2013,0.0194348207220493,0.0136270486758953,0.0264993876797621
"8501",2014,0.0173699472214136,0.0119376426307764,0.0239838643081104
"8751",2015,0.0157161938216692,0.010611219801105,0.0219313931498778
"9001",2016,0.014688253539789,0.00983981331171491,0.0205863088012431
"9251",2017,0.0139935086470751,0.00936197674698211,0.0196183712780429
"9501",2018,0.0136004729124378,0.00916140134770424,0.0189793831784115
"9751",2019,0.0133710462425134,0.00909681639499457,0.0185350833666949
"10001",2020,0.0132550086439441,0.00912813149759195,0.0182237128498003
"10251",2021,0.0130309959573961,0.00904921945861753,0.0178062927616012
"10501",2022,0.0128171865486516,0.00897242657110621,0.017408457696202
"10751",2023,0.0125298423398527,0.00882634251333125,0.0169329771711594
"11001",2024,0.0122392124184442,0.00867191941709038,0.0164608399276917
"11251",2025,0.0119602665534047,0.0085308252966295,0.016000005274451
"11501",2026,0.0116881107515129,0.00838939534580014,0.0155553329987537
"11751",2027,0.0114427003901517,0.00826086083423074,0.0151550138787899
"12001",2028,0.0112070170893203,0.00812157101767535,0.0147894666007739
"12251",2029,0.0109745258332507,0.00797533527168822,0.014440031187936
"12501",2030,0.0107265121976518,0.00780787001013763,0.014082510412585
"12751",2031,0.0104800589361925,0.00763478477668333,0.0137359180685525
"13001",2032,0.0102324325247344,0.0074531402199369,0.0133976924157169
"13251",2033,0.00999021012094167,0.00727169174803402,0.0130720473020546
"13501",2034,0.0097583360469337,0.0071022024228618,0.0127565357389011
"13751",2035,0.0095382480512848,0.00694047218110248,0.0124585204828908
"14001",2036,0.00934775090662416,0.00680615116169335,0.0121937377170124
"14251",2037,0.00916499364616588,0.00666902725206157,0.0119494101757068
"14501",2038,0.00899065276347335,0.00653279450527963,0.0117227590924476
"14751",2039,0.00881633327268543,0.00638488818473892,0.011509530968212
"15001",2040,0.00864936110352763,0.00623818467840752,0.0113112341520366
"15251",2041,0.00849006576066976,0.00608786803199161,0.0111337796926423
"15501",2042,0.00833591833777302,0.00594203330702064,0.01096302593495
"15751",2043,0.00818113417134656,0.00580915811010182,0.0107778419337474
"16001",2044,0.00803640974154579,0.00568853311268862,0.0106010090230928
"16251",2045,0.0079109891497828,0.0055897214699219,0.0104411666100707
"16501",2046,0.00779551106176881,0.00550192306683758,0.0102906185469927
"16751",2047,0.0076878928751017,0.00542138116953968,0.0101489736241067
"17001",2048,0.00758993012233281,0.00535111701406071,0.0100167901383002
"17251",2049,0.00750178189165325,0.00529008413590573,0.00989546926084339
"17501",2050,0.00742343099536023,0.00523873220041481,0.0097845181704017
